8;68;149
5;115;118
5;20;233
10;74;234
5;99;137
8;92;111
6;135;142
10;79;222
7;133;132
8;163;130
11;87;247
9;97;184
6;122;148
10;39;214
10;79;224
9;100;199
6;126;146
11;80;229
8;100;166
11;79;233
7;143;137
8;48;212
7;130;145
9;106;175
10;79;222
9;135;153
11;78;233
5;101;175
11;97;220
1;23;231
10;56;197
11;197;158
7;63;199
8;63;204
9;43;202
12;88;222
12;90;217
12;107;184
6;119;118
5;121;120
11;69;244
8;95;170
8;123;135
10;77;224
10;75;235
6;48;204
8;59;206
11;81;228
7;107;150
9;60;191
10;72;244
10;81;215
9;104;213
9;63;193
174;47;169
10;49;188
6;128;131
8;58;212
5;115;140
6;137;140
8;149;130
11;86;217
9;125;114
10;119;142
7;159;128
6;51;211
10;75;230
8;63;202
10;88;197
8;61;213
5;26;229
4;93;113
8;73;174
8;67;189
10;112;189
8;84;227
8;57;205
6;33;226
8;53;192
179;81;123
6;58;162
8;150;175
7;122;144
7;92;170
7;133;142
7;41;198
10;72;243
10;70;242
6;126;146
10;65;195
7;37;218
5;26;228
10;77;225
12;82;205
10;118;179
11;87;212
178;116;165
6;129;130
10;120;196
10;79;223
6;115;157
8;155;158
11;77;243
8;21;241
8;74;176
5;20;227
8;50;198
11;39;203
5;119;135
10;79;224
8;22;232
9;58;199
5;127;133
10;73;241
8;34;205
11;82;227
9;57;203
7;59;191
2;108;213
10;80;219
6;70;135
5;20;225
12;92;214
12;89;197
7;41;223
5;107;178
11;86;213
6;139;138
4;112;114
10;51;209
10;74;237
7;128;153
5;92;127
8;80;240
10;40;212
9;75;237
8;136;144
0;28;216
9;38;195
6;132;151
8;110;165
6;52;207
7;64;196
11;76;182
11;57;218
6;135;138
4;64;200
11;90;206
6;100;197
9;26;233
6;146;143
6;133;144
5;86;190
9;63;193
10;74;235
9;109;169
8;52;198
11;97;215
9;59;195
11;102;222
7;66;210
10;66;194
10;44;211
6;155;138
11;93;212
7;100;164
12;98;216
7;53;210
6;51;213
9;96;178
12;89;220
9;105;129
7;136;139
9;64;190
8;113;172
6;118;153
8;52;210
8;162;145
11;90;202
6;44;215
6;86;164
7;119;116
11;62;200
8;22;234
6;99;170
5;26;224
11;112;194
9;100;184
8;148;141
6;100;209
5;116;150
8;59;198
8;40;198
8;149;130
2;43;195
10;118;217
10;77;224
7;108;134
7;30;210
4;87;143
10;93;239
10;100;179
7;94;160
7;66;189
9;81;220
9;44;197
6;122;188
10;83;214
10;88;186
6;153;125
8;110;111
2;40;206
9;100;193
11;135;178
9;127;175
10;72;217
9;46;223
1;63;110
10;74;234
7;122;152
11;100;187
8;169;155
5;121;122
11;110;199
173;62;206
11;94;241
10;71;179
12;63;210
9;48;204
5;98;184
10;72;243
11;88;232
8;128;160
12;66;196
11;73;213
10;53;205
10;81;218
8;50;218
6;110;153
5;127;141
11;106;176
10;84;207
10;115;195
9;121;224
8;101;164
5;81;141
8;50;202
8;140;159
6;128;143
5;35;216
8;171;134
5;115;162
6;126;144
9;116;181
8;115;129
7;91;205
7;29;220
6;101;184
4;74;173
8;77;153
8;45;221
177;45;147
7;72;185
11;95;227
9;65;177
12;106;211
6;88;188
7;109;150
9;131;185
6;33;223
5;119;124
10;85;214
6;135;142
8;53;206
6;126;144
9;68;196
10;95;240
8;31;213
1;24;225
9;87;196
7;43;215
8;53;207
6;142;131
7;124;130
6;30;218
12;83;224
8;107;181
9;34;217
11;107;212
11;79;237
6;56;208
8;48;213
8;58;204
7;136;137
6;29;225
11;45;211
8;126;194
8;99;193
8;59;200
7;28;228
5;86;143
6;83;105
9;103;180
9;47;216
5;108;134
9;134;129
9;60;204
